id,lat,lng,bearing
1,36.255278,-119.792500,319
2,36.254722,-119.792778,204
3,36.255000,-119.792778,170
4,36.255278,-119.792778,215
5,36.255556,-119.791944,290
6,36.255556,-119.791944,176
7,36.255833,-119.792222,311
8,36.255278,-119.790556,214
9,36.255278,-119.791389,230
10,36.255556,-119.791111,170
11,36.256389,-119.790833,81
12,36.256667,-119.791111,323
13,36.256389,-119.791111,97
14,36.255278,-119.790556,77
15,36.255278,-119.790556,164
16,36.255278,-119.790556,15
17,36.255278,-119.790833,342
18,36.255278,-119.790833,168
19,36.255278,-119.790833,169
20,36.255278,-119.790833,350
21,36.255278,-119.790833,115
22,36.255278,-119.790833,21
23,36.255556,-119.790278,143
24,36.254722,-119.790278,346
25,36.255278,-119.790000,15
26,36.255278,-119.790556,84
27,36.257222,-119.790833,20
28,36.256944,-119.790833,343
29,36.256944,-119.790833,55
30,36.261667,-119.790278,105
31,36.261667,-119.790278,105
32,36.261667,-119.790278,74
